,0,1,2,Latitude,Longitude
0,会津若松郵便局,https://map.japanpost.jp/p/search/dtl/300182009000/?&cond2=1&cond200=1&&his=sa2,965-8799 福島県会津若松市中央１−２−１７,37.4985253,139.9290228
1,会津若松郵便局,https://map.japanpost.jp/p/search/dtl/300182009000/?&cond2=1&cond200=1&&his=sa2,965-8799 福島県会津若松市中央１−２−１７,37.4985253,139.9290228
2,会津アピオ郵便局,https://map.japanpost.jp/p/search/dtl/300182379000/?&cond2=1&cond200=1&&his=sa2,965-0059 福島県会津若松市インター西９２,37.5213636,139.9162369
3,芦ノ牧郵便局,https://map.japanpost.jp/p/search/dtl/300182416000/?&cond2=1&cond200=1&&his=sa2,969-5147 福島県会津若松市大戸町芦牧下タ平１０２５,37.3663206,139.9119933
4,飯盛山簡易郵便局,https://map.japanpost.jp/p/search/dtl/300182816000/?&cond2=1&cond200=1&&his=sa2,965-0007 福島県会津若松市飯盛１−５−１５,37.5041886,139.9524731
5,上三寄郵便局,https://map.japanpost.jp/p/search/dtl/300182133000/?&cond2=1&cond200=1&&his=sa2,969-5122 福島県会津若松市大戸町上三寄香塩３３９,37.3949967,139.9343106
6,北会津郵便局,https://map.japanpost.jp/p/search/dtl/300182207000/?&cond2=1&cond200=1&&his=sa2,965-0111 福島県会津若松市北会津町下荒井八幡前１−１,37.5069147,139.8661947
7,三本松郵便局,https://map.japanpost.jp/p/search/dtl/300182415000/?&cond2=1&cond200=1&&his=sa2,969-6188 福島県会津若松市北会津町東小松舘ノ内９−５,37.4731031,139.8874275
8,城北郵便局,https://map.japanpost.jp/p/search/dtl/300101824610/?&cond2=1&cond200=1&&his=sa2,965-0055 福島県会津若松市石堂町５−３０,37.5113361,139.9288297
9,堂島郵便局,https://map.japanpost.jp/p/search/dtl/300182333000/?&cond2=1&cond200=1&&his=sa2,969-3482 福島県会津若松市河東町谷沢十文字２２,37.5553344,139.9077728
10,原郵便局,https://map.japanpost.jp/p/search/dtl/300182134000/?&cond2=1&cond200=1&&his=sa2,965-0299 福島県会津若松市湊町原新橋１１７,37.44861,140.0199839
11,東長原郵便局,https://map.japanpost.jp/p/search/dtl/300182382000/?&cond2=1&cond200=1&&his=sa2,969-3431 福島県会津若松市河東町東長原長谷地１４４,37.5639989,139.9485103
12,東山郵便局,https://map.japanpost.jp/p/search/dtl/300182138000/?&cond2=1&cond200=1&&his=sa2,965-0813 福島県会津若松市東山町石山院内１１０−１,37.4844775,139.9538436
13,広田郵便局,https://map.japanpost.jp/p/search/dtl/300182043000/?&cond2=1&cond200=1&&his=sa2,969-3499 福島県会津若松市河東町広田沢目１３,37.5479,139.928385
14,門田郵便局,https://map.japanpost.jp/p/search/dtl/300182319000/?&cond2=1&cond200=1&&his=sa2,965-0827 福島県会津若松市門田町堤沢北村２０３−７,37.4592853,139.9219297
15,若松赤井郵便局,https://map.japanpost.jp/p/search/dtl/300182373000/?&cond2=1&cond200=1&&his=sa2,965-0201 福島県会津若松市湊町赤井赤井６９,37.4965261,140.0000864
16,若松旭町郵便局,https://map.japanpost.jp/p/search/dtl/300182331000/?&cond2=1&cond200=1&&his=sa2,965-0032 福島県会津若松市旭町３−１９,37.50283,139.9387547
17,若松居合郵便局,https://map.japanpost.jp/p/search/dtl/300182436000/?&cond2=1&cond200=1&&his=sa2,965-0001 福島県会津若松市一箕町松長南雨沼２２９−４,37.5203228,139.9506978
18,若松一箕町郵便局,https://map.japanpost.jp/p/search/dtl/300182433000/?&cond2=1&cond200=1&&his=sa2,965-0005 福島県会津若松市一箕町亀賀藤原１５６−１４,37.5137375,139.9424711
19,若松上町郵便局,https://map.japanpost.jp/p/search/dtl/300182147000/?&cond2=1&cond200=1&&his=sa2,965-0034 福島県会津若松市上町４−２７,37.4984617,139.9344883
20,若松駅前郵便局,https://map.japanpost.jp/p/search/dtl/300182206000/?&cond2=1&cond200=1&&his=sa2,965-0041 福島県会津若松市駅前町４−２,37.5048661,139.9301614
21,若松小田垣郵便局,https://map.japanpost.jp/p/search/dtl/300182386000/?&cond2=1&cond200=1&&his=sa2,965-0807 福島県会津若松市城東町５−１８,37.4890681,139.9393972
22,若松黒岩郵便局,https://map.japanpost.jp/p/search/dtl/300182449000/?&cond2=1&cond200=1&&his=sa2,965-0825 福島県会津若松市門田町黒岩南青木１２８−３,37.4756617,139.9341589
23,若松栄町郵便局,https://map.japanpost.jp/p/search/dtl/300182150000/?&cond2=1&cond200=1&&his=sa2,965-0878 福島県会津若松市中町２−１７,37.4959281,139.9249478
24,若松材木町郵便局,https://map.japanpost.jp/p/search/dtl/300182151000/?&cond2=1&cond200=1&&his=sa2,965-0853 福島県会津若松市材木町１−１−８,37.490065,139.9134572
25,若松千石町郵便局,https://map.japanpost.jp/p/search/dtl/300182452000/?&cond2=1&cond200=1&&his=sa2,965-0818 福島県会津若松市東千石２−３−４,37.4983978,139.9441522
26,若松橋本郵便局,https://map.japanpost.jp/p/search/dtl/300182424000/?&cond2=1&cond200=1&&his=sa2,965-0048 福島県会津若松市橋本２−１−１７,37.5046447,139.9114286
27,若松東栄町郵便局,https://map.japanpost.jp/p/search/dtl/300182268000/?&cond2=1&cond200=1&&his=sa2,965-0872 福島県会津若松市東栄町２−５,37.4929319,139.9301564
28,若松本町郵便局,https://map.japanpost.jp/p/search/dtl/300182082000/?&cond2=1&cond200=1&&his=sa2,965-0862 福島県会津若松市本町３−２５,37.4930706,139.9193878
29,若松南町郵便局,https://map.japanpost.jp/p/search/dtl/300182390000/?&cond2=1&cond200=1&&his=sa2,965-0874 福島県会津若松市南花畑２−２,37.4850883,139.9250039
30,若松山鹿町郵便局,https://map.japanpost.jp/p/search/dtl/300182397000/?&cond2=1&cond200=1&&his=sa2,965-0876 福島県会津若松市山鹿町３−２７,37.4910375,139.9224286
